id;name;x;y;sprite;meta:longitude:float;meta:latitude:float;meta:population:int;filter:region;filter:district
C62;Beroun;550.917266;609.042869;Graphics/Icons/City.png;14.072061165;49.963908175;19984;0;1
C63;Blansko;1265.824137;349.937413;Graphics/Icons/City.png;16.643174766;49.363160582;19715;0;1
C64;Mělník;662.731527;775.812351;Graphics/Icons/City.png;14.474193495;50.350570679;19472;0;1
C65;Náchod;1132.302685;804.350746;Graphics/Icons/City.png;16.162974008;50.416738226;19220;0;1
C66;Brandýs nad Labem-Stará Boleslav;715.322395;705.332797;Graphics/Icons/City.png;14.663332953;50.18716068;18755;0;0
C67;Žatec;404.605102;765.760457;Graphics/Icons/City.png;13.545859487;50.327264913;18570;0;0
C69;Kralupy nad Vltavou;617.514809;728.618219;Graphics/Icons/City.png;14.311574668;50.241148972;18189;0;0
C70;Louny;474.369518;778.619188;Graphics/Icons/City.png;13.796762432;50.357078457;17760;0;1
C71;Kadaň;328.289972;786.817036;Graphics/Icons/City.png;13.271397346;50.376085535;17628;0;0
C72;Hranice;1569.332912;429.644045;Graphics/Icons/City.png;17.734723291;49.547963974;17495;0;0
C73;Otrokovice;1512.625942;283.844737;Graphics/Icons/City.png;17.530780558;49.209921755;17183;0;0
C74;Benešov;721.908814;530.453656;Graphics/Icons/City.png;14.687020558;49.781695568;16448;0;0
C75;Svitavy;1217.21033;519.356328;Graphics/Icons/City.png;16.468338539;49.755965917;16261;0;1
C76;Uherský Brod;1544.983777;204.144604;Graphics/Icons/City.png;17.647153295;49.02513343;16206;0;0
C77;Říčany;712.820323;621.04965;Graphics/Icons/City.png;14.654334421;49.991746433;16182;0;0
C78;Rožnov pod Radhoštěm;1682.868238;391.065271;Graphics/Icons/City.png;18.143045316;49.45851736;16077;0;0
C79;Jičín;906.712067;813.109246;Graphics/Icons/City.png;15.3516528;50.4370452;15871;0;1
C80;Slaný;555.075027;724.04302;Graphics/Icons/City.png;14.087014267;50.23054117;15862;0;0
C81;Neratovice;674.821755;736.460499;Graphics/Icons/City.png;14.517675172;50.259331649;15831;0;0
C82;Ostrov;235.908446;756.60389;Graphics/Icons/City.png;12.939153516;50.306035004;15822;0;0
C83;Pelhřimov;871.047983;379.368021;Graphics/Icons/City.png;15.223389364;49.431396763;15755;0;1
C84;Bruntál;1494.268428;619.627559;Graphics/Icons/City.png;17.464759014;49.988449251;15523;0;1
C85;Dvůr Králové nad Labem;1035.299512;810.831352;Graphics/Icons/City.png;15.814108741;50.4317638;15170;0;0
C86;Rakovník;456.771608;669.375806;Graphics/Icons/City.png;13.733472751;50.103792787;15142;0;1
C87;Česká Třebová;1211.370224;582.303913;Graphics/Icons/City.png;16.447334999;49.901912708;15062;0;0
C88;Nymburk;820.541778;704.882;Graphics/Icons/City.png;15.041747256;50.186115487;14780;0;1
C89;Varnsdorf;702.815757;1017.79247;Graphics/Icons/City.png;14.618353683;50.911612411;14738;0;0
C90;Bílina;468.442202;861.236795;Graphics/Icons/City.png;13.775445246;50.548631074;14420;0;0
C91;Poděbrady;841.990128;686.06085;Graphics/Icons/City.png;15.11888478;50.142477809;14317;0;0
C92;Turnov;852.560219;877.932842;Graphics/Icons/City.png;15.156899388;50.587341607;14174;0;0
C93;Ústí nad Orlicí;1196.448574;613.354247;Graphics/Icons/City.png;16.393670305;49.973904297;13936;0;1
C94;Rokycany;418.16834;513.675068;Graphics/Icons/City.png;13.594638741;49.742793661;13826;0;1
C95;Hlučín;1696.481617;580.590372;Graphics/Icons/City.png;18.1920049;49.897939786;13562;0;0
C96;Zábřeh;1329.527629;573.983081;Graphics/Icons/City.png;16.872280013;49.882620486;13281;0;0
C97;Šternberk;1448.159481;508.352407;Graphics/Icons/City.png;17.298931346;49.730452833;13144;0;0
C98;Tachov;150.97862;536.363612;Graphics/Icons/City.png;12.633709213;49.795398066;12538;0;1
C99;Roudnice nad Labem;603.686143;808.069827;Graphics/Icons/City.png;14.261840817;50.42536108;12506;0;0
C100;Aš;29.014693;721.220059;Graphics/Icons/City.png;12.1950743;50.223996008;12483;0;0
C101;Český Krumlov;618.524989;111.783656;Graphics/Icons/City.png;14.31520771;48.810990441;12461;0;1
C102;Jaroměř;1065.145402;778.255526;Graphics/Icons/City.png;15.921447438;50.356235289;12260;0;0
C103;Mariánské Lázně;169.758483;609.386066;Graphics/Icons/City.png;12.701249703;49.964703891;12237;0;0
C104;Vysoké Mýto;1131.962903;604.441647;Graphics/Icons/City.png;16.161752006;49.953240035;12007;0;0
C105;Vrchlabí;978.400041;895.043721;Graphics/Icons/City.png;15.609473689;50.627013945;11968;0;0
C106;Boskovice;1270.503029;403.581722;Graphics/Icons/City.png;16.66000208;49.487537313;11661;0;0
C107;Nový Bor;685.384167;951.401155;Graphics/Icons/City.png;14.555662165;50.757681178;11458;0;0
C108;Holešov;1525.850253;337.06459;Graphics/Icons/City.png;17.578340885;49.333314366;11426;0;0
C109;Vlašim;780.809764;497.97444;Graphics/Icons/City.png;14.898853788;49.706391051;11357;0;0
C110;Velké Meziříčí;1090.398578;346.529046;Graphics/Icons/City.png;16.012268756;49.355258131;11325;0;0
C111;Uničov;1398.819159;525.809825;Graphics/Icons/City.png;17.121482256;49.770928637;11066;0;0
C112;Kyjov;1399.110957;197.700759;Graphics/Icons/City.png;17.122531686;49.010193088;10849;0;0
C113;Kuřim;1234.762056;322.069012;Graphics/Icons/City.png;16.531462119;49.298546446;10847;0;0
